Los Angeles,9q5gjxzm,CA,34.3209,-118.225
Cook,dp3w18vb,IL,41.8401,-87.8168
Harris,9vk1v72w,TX,29.8578,-95.3936
Maricopa,9tbj8pn0,AZ,33.349,-112.492
San Diego,9mugztsn,CA,33.0343,-116.735
Orange,9mur8r3n,CA,33.7031,-117.761
Miami-Dade,dhw9wz03,FL,25.6149,-80.5623
Dallas,9vg4mubx,TX,32.7666,-96.7778
Kings,dr5rjqpw,NY,40.6395,-73.9385
Riverside,9mvxbqzg,CA,33.7437,-115.994
Queens,dr5x81ts,NY,40.7023,-73.8203
Clark,9qqnnbc8,NV,36.2152,-115.013
King,c23qhm24,WA,47.4902,-121.805
San Bernardino,9qjqhq9m,CA,34.8414,-116.178
Tarrant,9vff6jfy,TX,32.7719,-97.2911
Bexar,9v1zw15b,TX,29.4489,-98.52
Broward,dhwub2zh,FL,26.1523,-80.4871
Santa Clara,9q97ycb6,CA,37.2318,-121.695
Wayne,dpsb8c5v,MI,42.2819,-83.2822
Alameda,9q9q4m7m,CA,37.6469,-121.889
New York,dr5ruz6x,NY,40.7784,-73.9674
Middlesex,drt1xqq0,MA,42.4856,-71.3918
Philadelphia,dr4ed71j,PA,40.0077,-75.1339
Sacramento,9qcdwxrz,CA,38.4493,-121.344
Palm Beach,dhwz8gnc,FL,26.6476,-80.4655
Suffolk,drk0qruh,NY,40.8686,-72.8448
Hillsborough,dhvqzh27,FL,27.9292,-82.3092
Bronx,dr72rhs2,NY,40.85,-73.8661
Orange,djn4jqyh,FL,28.5144,-81.3235
Nassau,dr5xtrpv,NY,40.7328,-73.5865
Franklin,dphgrh4r,OH,39.9695,-83.0093
Oakland,dpsdww06,MI,42.6604,-83.3858
Hennepin,cbj80bu4,MN,45.0045,-93.477
Travis,9v6kwfjq,TX,30.3344,-97.782
Cuyahoga,dpmgtv44,OH,41.4243,-81.6586
Allegheny,dppn5zp7,PA,40.4688,-79.9812
Fairfax,dqchcw08,VA,38.8368,-77.277
Contra Costa,9q9r9qyy,CA,37.9191,-121.928
Salt Lake,9x0rm578,UT,40.6673,-111.924
Mecklenburg,dnq8887q,NC,35.2467,-80.8328
Wake,dq25d72t,NC,35.7903,-78.6503
Fulton,dn5bjzm4,GA,33.7903,-84.467
Montgomery,dqcneht9,MD,39.1363,-77.2042
Pima,9t8w85jh,AZ,32.0974,-111.79
Collin,9vgkf3wn,TX,33.188,-96.5724
St. Louis,9yzevfm4,MO,38.6407,-90.4434
Fresno,9qdcj7dh,CA,36.7582,-119.649
Honolulu,87zd64p5,HI,21.5008,-158.105
Pinellas,dhvnvd9j,FL,27.9199,-82.7256
Westchester,dr7d1tkk,NY,41.1624,-73.7561
Marion,dp4drf5c,IN,39.7817,-86.1385
Milwaukee,dp9kwm0r,WI,43.0072,-87.9669
Duval,djmut99n,FL,30.3316,-81.6708
Fairfield,dr7fccpt,CT,41.2711,-73.3893
Shelby,dn204mj4,TN,35.1842,-89.894
Bergen,dr7342kz,NJ,40.9597,-74.0742
